"Question No.","Marks","Question"
"31","5","Find the inverse Laplace transform of 1/(s² + 4)."
"32","5","Evaluate the integral ∫₀² (x² + 3x) dx."
"33","5","Find the derivative of f(x) = tan(x)."
"34","5","Solve the first-order linear differential equation y' + 2y = 5x."
"35","5","Solve the second-order differential equation y'' + 9y = 0."
"36","5","Find the Laplace transform of cosh(at)."
"37","5","Find the Fourier transform of the function f(x) = e^(-|x|)."
"38","5","Evaluate the integral ∫₀⁰ (sin(x))² dx."
"39","5","Find the eigenvalues of the matrix [[4, 1], [2, 3]]."
"40","5","Solve the system of equations x + 2y + 3z = 9, 2x + 3y + z = 8, x - y + z = 3 using Cramer's rule."
"41","5","Find the inverse of the matrix [[2, 1], [1, 3]]."
"42","5","Find the Fourier series for f(x) = x on the interval (-π, π)."
"43","5","Solve the differential equation dy/dx = (3x + 2y)/(x + y)."
"44","5","Evaluate the integral ∫₀² (x³ + x²) dx."
"45","5","Find the Laplace transform of e^(at) cos(bt)."
"46","5","Find the Fourier transform of the function f(x) = cos(x)."
"47","5","Evaluate the double integral ∫∫ (x² + y²) dA over the region x² + y² ≤ 1."
"48","5","Solve the second-order differential equation d²y/dx² - 5dy/dx + 6y = 0."
"49","5","Find the value of the integral ∫₀¹ (1 - x²) dx."
"50","5","Solve the system of equations 2x + y = 5, 3x + 2y = 8 using Gaussian elimination."
"51","10","Find the Maclaurin series expansion for cos(x)."
"52","10","Solve the second-order differential equation d²y/dx² + 4y = 0 with initial conditions y(0) = 1 and y'(0) = 0."
"53","10","Evaluate the integral ∫₀¹ (x² + 1)/(x³ + 1) dx."
"54","10","Solve the linear differential equation dy/dx = (x + y)/(x - y)."
"55","10","Find the Fourier series of f(x) = sin(x) in the interval (-π, π)."
"56","10","Find the Laplace transform of sin(at)."
"57","10","Evaluate the triple integral ∫∫∫ x² y dz dy dx over the region 0 ≤ x ≤ 1, 0 ≤ y ≤ 1, 0 ≤ z ≤ 1."
"58","10","Find the eigenvalues and eigenvectors of the matrix [[5, 4], [1, 3]]."
"59","10","Solve the second-order linear differential equation d²y/dx² + 4y = 0."
"60","10","Find the inverse Laplace transform of 1/(s² + 2s + 5)."
"61","10","Solve the system of equations using matrix methods: 2x + 3y + z = 9, x + y + 2z = 6, 3x + 2y + z = 7."
"62","10","Find the derivative of f(x) = e^x * ln(x)."
"63","10","Evaluate the limit lim x→∞ (1 + 1/x)ⁿ."
"64","10","Evaluate the integral ∫₀π cos²(x) dx."
"65","10","Solve the first-order differential equation dy/dx = (y + x)/(y - x)."
"66","10","Find the Maclaurin series for tan(x)."
"67","10","Find the Fourier transform of the function f(x) = e^(-x²)."
"68","10","Solve the system of equations 2x + 3y = 5, 4x - y = 7 using Gaussian elimination."
"69","10","Find the eigenvalues and eigenvectors of the matrix [[1, 0], [0, 1]]."
"70","10","Solve the second-order differential equation y'' + 3y' + 2y = 0."
"71","10","Evaluate the triple integral ∫∫∫ x y² dz dy dx."
"72","10","Find the inverse of the matrix [[3, 2], [1, 4]]."
"73","10","Evaluate the integral ∫₀² e^(x²) dx."
"74","10","Solve the differential equation d²y/dx² + y = 0 with the initial condition y(0) = 0."
"75","10","Evaluate the integral ∫₀π sin(x) cos(x) dx."
"76","10","Solve the linear differential equation y' + 3y = 6x."
"77","10","Find the Fourier series for f(x) = e^(x) on the interval (-π, π)."
"78","10","Find the Laplace transform of t * cos(at)."
"79","10","Solve the second-order differential equation d²y/dx² - 2y = 0."
"80","10","Evaluate the double integral ∫∫ (x² + y²) dx dy over the region x² + y² ≤ 4."
"81","10","Find the Fourier series of f(x) = x² on the interval (-π, π)."
"82","10","Evaluate the integral ∫₀³ (x³ + 2x²) dx."
"83","10","Solve the system of equations using matrix inversion: x + y + z = 6, 2x + y + 2z = 7, 3x + 2y + z = 8."
"84","10","Find the Maclaurin series for ln(1 + x)."
"85","10","Solve the linear differential equation dy/dx = (x² + y²)/(x + y)."
"86","10","Find the inverse Laplace transform of 1/(s² + 4s + 5)."
"87","10","Evaluate the triple integral ∫∫∫ x² z² dy dx dz."
"88","10","Find the Fourier transform of the function f(x) = x²."
"89","10","Solve the second-order differential equation y'' + 2y' + y = 0."
"90","10","Evaluate the integral ∫₀π sin²(x) dx."
"91","10","Find the derivative of f(x) = x² * ln(x)."
"92","10","Solve the first-order differential equation dy/dx = (x² + y²)/(xy)."
"93","10","Evaluate the double integral ∫∫ (x² + y²) dx dy over the region x² + y² ≤ 1."
"94","10","Find the Laplace transform of t² * sin(at)."
"95","10","Solve the system of equations 3x + 2y + z = 7, 4x + y + 2z = 8, 5x + 3y + z = 9 using Cramer's rule."
"96","10","Find the Fourier series of f(x) = cos(x) on the interval (-π, π)."
"97","10","Find the inverse of the matrix [[4, 1], [2, 3]]."
"98","10","Evaluate the integral ∫₀⁰ (sin(x))² dx."
"99","10","Solve the linear differential equation y'' - y = 0."
"100","10","Find the eigenvalues of the matrix [[3, 1], [2, 4]]."
