"Question No.","Marks","Question"
"65","10","Explain the process of surface treatment. What are the different types of surface treatments used in manufacturing?"
"66","10","Describe the working principle of a grinding machine. What are the different types of grinding machines?"
"67","10","What is the significance of hardness testing in manufacturing? Describe the methods used to test hardness."
"68","10","What is die casting? Explain its process and applications in the manufacturing industry."
"69","10","Explain the concept of lean manufacturing. What are its benefits and key principles?"
"70","10","What is the role of a lathe machine in manufacturing? Describe different types of lathe machines."
"71","10","Describe the process of injection molding. What are its advantages and disadvantages?"
"72","10","What is the difference between a milling machine and a drilling machine? Explain their uses in manufacturing."
"73","10","What are the advantages of using automation in manufacturing processes?"
"74","10","Explain the process of bending and forming of sheet metal. What are the different types of forming processes?"
"75","10","What are the different types of welding joints? Explain each with examples."
"76","10","What is the role of cooling and lubrication in machining? Explain the methods of cooling and lubrication used in manufacturing."
"77","10","What is the importance of quality control in manufacturing? Explain the methods used for quality control."
"78","10","What are the factors that affect the machinability of materials?"
"79","10","Describe the process of machining a hole using a drilling machine. What are the precautions to be taken?"
"80","10","Explain the process of cutting gears. What are the different methods of gear cutting?"
"81","10","What is meant by 'metal forming'? Discuss various metal forming processes used in manufacturing."
"82","10","What is the function of a tool post in a lathe machine? Explain how it is used."
"83","10","What is a CNC machine? Explain the components of a CNC machine and its applications."
"84","10","What is the principle of operation of an ultrasonic machining process?"
"85","10","What are the various types of machine tools used in the workshop? Explain their functions."
"86","10","Explain the difference between a planer and a shaper machine."
"87","10","What are the applications of a radial drilling machine in manufacturing?"
"88","10","What is the difference between laser welding and electron beam welding?"
"89","10","Explain the process of die sinking EDM (Electric Discharge Machining) and its applications."
"90","10","What is the role of CNC programming in modern manufacturing?"
"91","10","Describe the process of wire EDM and its advantages over conventional machining."
"92","10","What is sheet metal stamping? Explain its process and applications in automotive manufacturing."
"93","10","What is the principle of operation of a CNC turning center?"
"94","10","Explain the importance of preventive maintenance in manufacturing equipment."
"95","10","What are the different types of cutting fluids used in machining? Explain their functions."
"96","10","Explain the principle and applications of laser engraving and cutting."
"97","10","What is the concept of Just-in-Time (JIT) manufacturing?"
"98","10","Describe the process of centrifugal casting and its applications."
"99","10","What are the key differences between a horizontal and vertical CNC machine?"
"100","10","Explain the process of electroplating. What are its applications in manufacturing?"
