"Question No.","Marks","Question"
"76","5","What are the various methods used for determining the centroid of an area?"
"77","5","Explain the concept of simple harmonic motion (SHM) and its characteristics."
"78","5","What is the importance of the second law of motion in solving mechanical problems?"
"79","5","What is the significance of work done in a mechanical system?"
"80","5","Describe the relation between work and energy in the context of a moving body."
"81","5","What are the different types of motion that a body can exhibit? Explain each type."
"82","5","What is the difference between uniform motion and non-uniform motion?"
"83","5","Explain the principle of work and energy in a conservative system."
"84","5","Describe the method of solving equilibrium problems for non-coplanar forces."
"85","5","Explain the concept of inertia and its effects on the motion of an object."
"86","5","What are the factors that affect the motion of a body under the action of friction?"
"87","5","Describe the method of calculating acceleration in circular motion."
"88","5","Explain the concept of centrifugal force and its application in mechanics."
"89","5","What is the significance of mechanical advantage in levers and pulleys?"
"90","5","Describe the concept of a linear momentum and its conservation in collisions."
"91","10","Define the concept of acceleration and explain its importance in mechanics."
"92","10","Explain the relationship between work, energy, and power with examples."
"93","10","What is the significance of the second law of motion in engineering applications?"
"94","10","Describe the moment of inertia for a hollow sphere and a solid sphere."
"95","10","What is the effect of a couple on a rigid body in terms of rotational motion?"
"96","10","Explain the concept of angular velocity and angular acceleration."
"97","10","Describe the law of conservation of energy in the context of mechanical systems."
"98","10","What is the significance of stress and strain in materials used in mechanical systems?"
"99","10","Explain the difference between static friction and kinetic friction."
"100","10","Describe the concept of impulse and its relation to momentum."
"101","10","What are the key differences between a rigid body and a deformable body?"
"102","10","Explain the significance of the equilibrium of forces in mechanical systems."
"103","10","Describe the method of finding the center of mass of irregular bodies."
"104","10","What are the different types of levers and their mechanical advantages?"
"105","10","Explain the process of calculating the center of gravity of a body."
"106","10","What is the relationship between displacement and velocity in motion?"
"107","10","Explain the role of friction in the motion of vehicles on roads."
"108","10","Describe the concept of free-body diagrams in analyzing forces."
"109","10","What are the types of simple machines and their applications?"
"110","10","Describe the method of calculating angular acceleration in rotational motion."
"111","10","What is the significance of the torque in mechanical engineering?"
"112","10","Explain the significance of a force acting on a rigid body in rotational dynamics."
"113","10","What is the effect of gravity on an object in free fall?"
"114","10","What is the significance of the radius of gyration in a rotating body?"
"115","10","What is the relation between velocity and acceleration in curvilinear motion?"
"116","10","Explain the role of mechanical advantage in simple machines."
"117","10","What are the applications of angular momentum in mechanical systems?"
"118","10","Explain the role of mechanical energy conservation in mechanical systems."
"119","10","What is the role of friction in the motion of objects on inclined planes?"
"120","10","Describe the different types of motion that bodies can exhibit."
"121","10","What is the effect of rolling friction on the motion of a wheel?"
"122","10","Explain the principle of work and energy in a conservative system."
"123","10","Describe the importance of force equilibrium in mechanical systems."
"124","10","Explain the principle of conservation of linear momentum."
"125","10","What is the role of stress-strain curves in material selection for engineering applications?"
"126","10","Explain the importance of force systems in solving problems in engineering mechanics."
"127","10","What are the basic types of motion that an object can undergo?"
"128","10","What is the significance of angular acceleration in rotational motion?"
"129","10","Explain the role of moment of inertia in rotating bodies."
"130","10","Describe the concept of work and energy in terms of rotational motion."
